01:22:01:200 [ALWAYS]	GUDE Logging Started
01:22:01:201 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:22:01:201 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:22:01:201 [ERROR]	Initialize resume cache pointer failure
01:22:01:201 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
01:22:01:201 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
01:22:09:143 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
01:22:09:148 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:22:09:149 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:22:09:149 [ERROR]	Initialize resume cache pointer failure
01:22:09:149 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
01:22:09:149 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
